text,attributeScores.THREAT.summaryScore.value,attributeScores.PROFANITY.summaryScore.value,attributeScores.IDENTITY_ATTACK.summaryScore.value,attributeScores.TOXICITY.summaryScore.value,attributeScores.SEVERE_TOXICITY.summaryScore.value,attributeScores.INSULT.summaryScore.value
aguedescartoon presidente do mimimi cadê a correção do imposto de renda cadê o combustível barato cadê as vacinas,0.18610102,0.22129783,0.44711193,0.57735354,0.32804233,0.67296374
sete horas da manhã do meu aniversário e minha madrasta me liga dizendo que meu pai foi internado pelo covid de novo,0.38656598,0.22129783,0.15686275,0.20915551,0.15652174,0.21493441
tudo isso para justificar o fique em casa e só vá ao hospital se estiver com falta de ar exame sorológico pode ser utilizado para tratar covid rapaz,0.20730156,0.04510198,0.15686275,0.16447505,0.060686015,0.21493441
delucca se dizem contra a vacina mas são os primeiros da fila,0.22395833,0.11982102,0.36475409999999997,0.24337958,0.13884786,0.3219697
parar sp pra trazer vacina ninguém quer né,0.44514987,0.17263843,0.48255032,0.3387868,0.32804233,0.31883675
oantagonista jairbolsonaro é porquê quando você teve a oportunidade de comprar não quis e agora está correndo atrás da mesma vacina,0.16374269,0.044211152999999996,0.15141243,0.21498448,0.1045911,0.23564106
mostrem os negacionistas dos protestos  do ano passado na avenida paulista vários morreram de  nlembro de ver várias matérias a respeito bdsp,0.76106197,0.1298077,0.5625331,0.38219509999999995,0.32804233,0.3219697
jairbolsonaro compra as vacinas e vai tomar no cu,0.7326733,0.9559401,0.8179813,0.9532164000000001,0.9606127,0.9313984000000001
lucianohuck narigudo o mundo está c falta de vacina as farmacêuticas estão em posição completamente confortável ditando as regras para a venda de vacinas com contratos leoninos contra os países se você diz ser fácil porque não vai lá e resolve ficar bostejando no twitter é mole tio,0.2877095,0.5767635,0.73415244,0.6938776,0.6394558000000001,0.71376973
acmacedo vai piorar muito porto alegre tem mais de  casos confirmados ativos não informados à secretaria estadual da saúde conforme boletim municipal x painel coronavírus rs de ontem esconde a situação real da capital do governo do estado,0.24070945,0.10279001,0.29694322,0.19312753,0.13884786,0.21493441
